Guid,Name,Type,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,Phone,Fax,AccountNumber,Website,Sic,Industry,AnnualRevenue,NumberOfEmployees,Ownership,TickerSymbol,Description,Rating,Site,IsPartner,IsCustomerPortal,Jigsaw,AccountSource,DunsNumber,Tradestyle,NaicsCode,NaicsDesc,YearStarted,SicDesc,CustomerPriority__c,SLA__c,Active__c,NumberofLocations__c,UpsellOpportunity__c,SLASerialNumber__c,SLAExpirationDate__c,SBQQ__AssetQuantitiesCombined__c,SBQQ__CoTermedContractsCombined__c,SBQQ__ContractCoTermination__c,SBQQ__IgnoreParentContractedPrices__c,SBQQ__PreserveBundle__c,SBQQ__PriceHoldEnd__c,SBQQ__RenewalModel__c,SBQQ__RenewalPricingMethod__c,SBQQ__TaxExempt__c,SBQQ__CoTerminationEvent__c,test_field_1__c,MyExternalId__c
d049f7b8-9f28-470b-a1c0-e92e18ad5646,jqTickCNVulsz,#N/A,67682 Kirby Roads,West Loydborough,Utah,#N/A,Macedonia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2952725772,(215) 141-9113,#N/A,https://mffxtbgfmtfysa/dimac,#N/A,Banking,131.36625204465747,2,#N/A,#N/A,WZUbb,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,#N/A,Same,No,#N/A,#N/A,#N/A
60b995e8-e907-4f21-bcc9-47210f25a19a,bNKSKHcAwmhsPQLhCqy,#N/A,644 Sauer Green,Lake Efren,Illinois,#N/A,Mongolia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(740) 509-6525,(515) 276-1575,#N/A,https://cBXagqogpF.com/ZDXdT,#N/A,#N/A,88.47028032498831,840397,#N/A,#N/A,TNecQ,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,#N/A,Same,No,#N/A,#N/A,#N/A
dcfd780e-ea78-4f84-8915-0538dfb84312,hbShfIoMSimRc,#N/A,1113 Trevor Manors,Mackenzieborough,Virginia,#N/A,Australia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7974619563,(954) 575-8561 V8132,#N/A,https://rsayxiemhigklk/ypckj,#N/A,Banking,77.20677116419687,47,#N/A,#N/A,CPutQ,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,#N/A,Same,No,#N/A,#N/A,#N/A
3b44796b-c4cc-49dd-88a7-e979bb5921e0,jisSTtQqjFcGYFqTgQA,#N/A,40343 Dee Roads,New Elvieport,Nevada,#N/A,Sweden,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(208) 637-1207,(775) 928-7589,#N/A,https://wtENGycUJM.com/uTKtf,#N/A,#N/A,96.67240338219919,469763,#N/A,#N/A,HkOSw,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,#N/A,Same,No,#N/A,#N/A,#N/A
84f2ba4f-0cc9-4947-ab79-506850b671bb,DMDqUogrsNtHRsDTPbQ,#N/A,6004 Waters Trace,Angeliatown,New York,#N/A,New Caledonia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(831) 827-3576,(616) 131-3210,#N/A,https://jdnuzpyvptafbx/ezrqv,#N/A,#N/A,52.484220104695055,984560,#N/A,#N/A,SJHHT,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,#N/A,Same,No,#N/A,#N/A,#N/A
b55636cc-c442-4e06-8252-81e331212e44,CJxNQNpvPthNvBtHrcv,#N/A,8255 McKenzie Extensions,Tremblayfurt,Ohio,#N/A,British Indian Ocean Territory (Chagos Archipelago),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(246) 798-3878 O6373,(415) 478-8747,#N/A,https://iBeDJwbSJe.com/XJPOH,#N/A,#N/A,84.19630206841929,400346,#N/A,#N/A,Sdniw,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,#N/A,Same,No,#N/A,#N/A,#N/A
53e5cea4-18a6-4793-a1ee-07199115a0d1,Topicstorm,Customer,1701 JFK Blvd,Philadelphia,PA,19103-2838,United States,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.215.286.1700,#N/A,#N/A,#N/A,#N/A,Technology,7.451E10,#N/A,#N/A,#N/A,Initech is the leader in Technology in Philadelphia,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,Contract Based,Same,No,#N/A,#N/A,#N/A
dc05e45f-0948-489c-bd6e-9417e9a26f7e,KFWxLosSsjkuWRqnekW,#N/A,9702 Bartell Viaduct,Ferryton,Delaware,#N/A,Tunisia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(966) 649-2749,(032) 478-4836,#N/A,https://eeuxwaeavixuxa/hvwno,#N/A,#N/A,94.92941910988816,709087,#N/A,#N/A,HxEuk,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,#N/A,Same,No,#N/A,#N/A,#N/A
399a06dd-bd74-4fdf-b37e-933d7d1a1046,duuqaflBEvCGgesSPvg,#N/A,6839 Gertrud Land,Port Tamathamouth,Indiana,#N/A,Saint Pierre and Miquelon,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(001) 529-3910 U8584,(605) 626-9830,#N/A,https://dKVHmrxeFo.com/VoXFL,#N/A,#N/A,77.39427656926667,19364,#N/A,#N/A,lZhoK,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,#N/A,Same,No,#N/A,#N/A,#N/A
ac5b2e15-6994-42e7-96ce-ad1fe29a848a,khmeUkXqtYsLaakIUJE,#N/A,54358 Legros Plains,Port Ivantown,Pennsylvania,#N/A,Cook Islands,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(201) 915-6112,(518) 413-0728,#N/A,https://VfxdeUOEyg.com/QlSUX,#N/A,#N/A,82.9986674480692,476047,#N/A,#N/A,wmMdx,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,#N/A,Same,No,#N/A,#N/A,#N/A
bae35230-4427-41e0-942f-5244d8dcce12,dqhqJQdaqljiGZfgyvK,#N/A,936 Jenice Dam,Erdmanland,Ohio,#N/A,Falkland Islands (Malvinas),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(897) 988-3303 I9303,(619) 706-9159,#N/A,https://bgbYtiWDSq.com/RZYwU,#N/A,#N/A,61.10697647233403,15790,#N/A,#N/A,DOiwV,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,#N/A,Same,No,#N/A,#N/A,#N/A
fe4d0c8f-e156-4798-a01d-60221dcb9e9b,ujKhivkvEvzCqYJKuub,#N/A,5241 Dibbert Crescent,New Bucktown,Washington,#N/A,Austria,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(216) 812-9584,(701) 267-7122 x0283,#N/A,https://ZoZZrUWwNG.com/SukzU,#N/A,#N/A,88.51814971666457,816177,#N/A,#N/A,ItMxk,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,#N/A,Same,No,#N/A,#N/A,#N/A
eca36cea-0e42-4d39-a514-6aacdd98fe8b,ZtPzBEcOQXquoLyophZ,#N/A,6453 Amos Forks,West Valerie,Kentucky,#N/A,Bolivia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(745) 752-4865 X7944,(119) 358-1071,#N/A,https://jzspcmxndiumwt/grbuj,#N/A,#N/A,6.015115118822303,70199,#N/A,#N/A,HjOXG,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,#N/A,Same,No,#N/A,#N/A,#N/A
f1d58674-ac58-44e7-930e-7b12264828da,HoYdxDSyJGFOcdpkqbg,#N/A,603 Schmitt Shoals,Jonetown,California,#N/A,Mozambique,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(470) 257-8844,(478) 503-1423 x2082,#N/A,https://UsltXKNyLq.com/PbjGP,#N/A,#N/A,72.67221274870353,991278,#N/A,#N/A,njXcI,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,#N/A,Same,No,#N/A,#N/A,#N/A
44b3809f-c59b-4653-9194-0cd5179e05f7,egqpUvYWRkdImnNxEcd,#N/A,559 Conrad Valley,East Milissaberg,North Carolina,#N/A,Sudan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(520) 556-6713 K6474,(307) 972-2981 x6143,#N/A,https://yhQflpVFEv.com/DXaHK,#N/A,#N/A,50.07614193137281,437905,#N/A,#N/A,kyHYm,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,#N/A,Same,No,#N/A,#N/A,#N/A
7eaf1ee2-d47c-4cbf-a8d8-b533f849da5f,CjdrlcwULNzJCGKyfVv,#N/A,5202 Lind Station,Sharlamouth,Missouri,#N/A,Netherlands,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(922) 997-4283,(863) 706-6082,#N/A,https://XySFVBJkuy.com/uaxSl,#N/A,#N/A,97.43924051157089,604861,#N/A,#N/A,HtNtx,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,#N/A,Same,No,#N/A,#N/A,#N/A
ea9ef9bf-a08e-41b5-af73-2371c121788f,UbetSwaKlhYhzDhgHhA,#N/A,8905 Senger Landing,Lockmanborough,Connecticut,#N/A,Northern Mariana Islands,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(280) 775-6818,(224) 025-1095,#N/A,https://dqrfesvpfqzomh/bvduy,#N/A,#N/A,8.967722298562748,812638,#N/A,#N/A,dgfwn,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,#N/A,Same,No,#N/A,#N/A,#N/A
152bbbca-8bc3-4c29-a201-fce19bc0beef,KsOvGnglXZDwjUigLFQ,#N/A,11524 Leon Valley,South Dorrischester,Utah,#N/A,Tanzania,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(809) 286-1042 U0898,(656) 003-4555,#N/A,https://tanjlutguzaixn/yduvj,#N/A,#N/A,10.066886286888735,916252,#N/A,#N/A,dJXAr,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,#N/A,Same,No,#N/A,#N/A,#N/A
0912092c-d58e-43ae-a2c4-f00b8e73e96b,Zoonoodle,Prospect,1 Nationwide Plz,Columbus,OH,43215-2226,United States,#N/A,#N/A,#N/A,P.O. BOX 182171,Columbus,OH,43218-2171,US,#N/A,#N/A,#N/A,1.614.249.7111,#N/A,#N/A,#N/A,#N/A,Media,1.5240896511E10,#N/A,#N/A,#N/A,Polimarc Inc. is the leader in Media in Columbus,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,Contract Based,Same,No,#N/A,#N/A,#N/A
ca8107ea-db36-4682-b397-99e930131b1b,Yakidoo,Customer,75010,Paris,#N/A,#N/A,France,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Healthcare,4.528576E8,#N/A,#N/A,#N/A,Trevor Ferrin Hospital is the leader in Healthcare,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,Contract Based,Same,No,#N/A,#N/A,#N/A
e6736954-1a5d-439e-9d22-4e1d91ca0d74,oEeVLZuoSdVGR,#N/A,9793 Bernie Well,North Katechester,Michigan,#N/A,Reunion,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2821069695,(616) 917-4525 x4808,#N/A,https://eRgZvVlyJo.com/xbJQW,#N/A,Banking,11.679364072360684,363,#N/A,#N/A,OnSdz,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,#N/A,Same,No,#N/A,#N/A,#N/A
7030debe-cbf2-45f3-9bd8-5c4a32058c3d,qowWUNKplbpipRXdQZh,#N/A,570 Art Ways,Schmittchester,Oregon,#N/A,Botswana,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(246) 054-2446 B8174,(551) 706-0229 x8452,#N/A,https://oPTQsBkMXc.com/SntKR,#N/A,#N/A,26.172048939399385,419072,#N/A,#N/A,tbohr,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,#N/A,Same,No,#N/A,#N/A,#N/A
d935f270-8d68-4b5f-a35c-8dd3a073c778,Twiyo,Customer,1211 Ave of The Americas,New York,NY,10036-8701,United States,#N/A,#N/A,#N/A,178 Campbell Parade,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.212.852.7000,#N/A,#N/A,#N/A,#N/A,Automotive,2.8987E10,#N/A,#N/A,#N/A,Enginomics is the leader in Automotive in New York,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,Contract Based,Same,No,#N/A,#N/A,#N/A
e478ce89-d2a9-4a50-ae98-644ac92f098a,Gabcube,Customer,140 Diagonal Rd,Warradale,SA,5046,Australia,#N/A,#N/A,#N/A,140 Diagonal Rd,Warradale,SA,5046,Australia,#N/A,#N/A,#N/A,(08) 8985 7724,#N/A,#N/A,#N/A,#N/A,Apparel,1.27207233E8,#N/A,#N/A,#N/A,Charles Townsend Agency is the leader in Apparel in Warradale,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,Contract Based,Same,No,#N/A,#N/A,#N/A
e6247e32-f6f2-4fb0-be5f-5041ac4dbe6c,rhAoYDRVgpGFn,#N/A,87856 Jude Plains,North Manda,Georgia,#N/A,Palau,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7725047108,(614) 469-4888 x8230,#N/A,https://pZioCijooI.com/zeyqH,#N/A,Banking,49.58581890251789,592,#N/A,#N/A,nREfi,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,#N/A,Same,No,#N/A,#N/A,#N/A
427fc315-7cf0-4c9e-b301-f5a9aefe8303,ztgYWBzvkLoCV,#N/A,0063 Kuphal Rapids,East Ferne,Massachusetts,#N/A,Palestinian Territory,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3622539775,(425) 970-3076,#N/A,https://SlopFVCNaK.com/vgPhM,#N/A,Banking,54.39920828461414,687,#N/A,#N/A,Iefsj,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,#N/A,Same,No,#N/A,#N/A,#N/A
e63db99f-4f15-499f-a936-d9dd0f9e9494,WyjxNTuaLegEozPNsIy,#N/A,7758 Darron Lake,Charaton,North Carolina,#N/A,Guyana,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(062) 953-4727 V7879,(718) 941-7504,#N/A,https://kbpwjBSivB.com/GZkBT,#N/A,#N/A,95.06336213782433,992959,#N/A,#N/A,nFbJQ,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,#N/A,Same,No,#N/A,#N/A,#N/A
